N,P,K,temperature,humidity,ph,rainfall,previous_crop,farm_size_hectares,current_crop
27.427847390814854,75.15721759110207,24.655549835014057,26.19344112426571,63.48831037553276,5.935261019097207,71.01700208574823,Wheat,0.46,MungBean
78.15408438152339,49.30160668459178,46.464207957149725,31.40946406014125,84.42196227562954,6.991140469568375,217.33502345599064,Wheat,0.68,Sugarcane
75.84774486897075,56.25700261126871,45.817468206481784,34.007891803868944,84.82433943195919,6.694756529245928,257.79595260218485,Wheat,1.88,Rice
84.94487701138537,45.741831061656775,50.75383745466232,30.374854372281842,77.53865050125292,6.454248675732692,225.3619073246244,Maize,0.26,Rice
22.20084969640428,79.43507717921725,23.55310782073449,29.258007085023266,66.26937331261145,6.487984563910317,62.82581503109575,Wheat,0.67,PigeonPeas
89.24185827455736,44.4074477691093,53.92132052147286,30.36055759648692,78.99908173998699,6.129583251812908,279.248311447667,Maize,1.88,Rice
16.77683153943844,34.93742053833937,79.83074893840093,10.252428603436513,49.62740531507201,7.287889297460074,11.811885289112265,Millet,1.83,Chickpea
34.641199682793506,63.79210438496967,20.06942462688131,29.131738292942917,59.7218449659708,5.551787533188863,57.13069734179629,Wheat,1.15,PigeonPeas
29.17145869813949,39.624243781564616,79.03977879638573,12.620603814838018,56.608204434209156,7.459508453514383,35.83704067338293,Millet,0.47,Chickpea
72.02821114480817,42.71914140818165,42.413409176684006,31.43981503467161,79.54248058744146,6.585511928725275,246.1046380077538,Wheat,0.76,Rice
23.68407550867194,60.421260238903415,23.883169996025593,26.1004888391424,56.571339191432195,5.796258347590487,94.46893397861373,Rice,0.96,MungBean
88.87972826741608,44.134776830903185,27.78049756870957,33.51386264325495,65.64025384455036,7.157253324719669,265.96500630682556,Wheat,1.83,Maize
33.184218707978594,70.58725001861774,22.267203479983458,28.639697612873896,60.311373240616675,5.626408384863047,61.48951399706628,Rice,0.76,PigeonPeas
76.77765093064895,39.22645590031577,48.01752156443286,32.81571433840603,70.12880445187604,5.60566231476007,277.5902359930727,Fallow,0.68,Rice
29.001579531301605,44.38821308439309,78.76129842208441,11.586388523806885,44.12195113553625,7.353334305339638,49.87436624097876,Maize,0.81,Chickpea
28.28366191665035,36.42642059746279,37.692194517838644,11.478551298612876,56.63800978772808,6.203331526933126,49.59788526029761,Maize,1.49,Mustard
82.08034334025598,45.85104502502473,24.450241626752792,18.590805522922917,60.95348926936943,6.918941769176115,11.629464683296856,Maize,0.23,Wheat
